Распределение температур для последнего шага (t = 1800 с)
x [m]	T [C]
0.0000	82.22
0.0020	81.86
0.0041	81.50
0.0061	81.14
0.0082	80.78
0.0102	80.42
0.0122	80.07
0.0143	79.71
0.0163	79.36
0.0184	79.01
0.0204	78.65
0.0224	78.30
0.0245	77.96
0.0265	77.61
0.0286	77.26
0.0306	76.92
0.0327	76.57
0.0347	76.23
0.0367	75.89
0.0388	75.55
0.0408	75.21
0.0429	74.88
0.0449	74.54
0.0469	74.21
0.0490	73.88
0.0510	73.55
0.0531	73.22
0.0551	72.89
0.0571	72.57
0.0592	72.24
0.0612	71.92
0.0633	71.60
0.0653	71.28
0.0673	70.96
0.0694	70.64
0.0714	70.32
0.0735	70.01
0.0755	69.70
0.0776	69.39
0.0796	69.08
0.0816	68.77
0.0837	68.46
0.0857	68.16
0.0878	67.85
0.0898	67.55
0.0918	67.25
0.0939	66.95
0.0959	66.65
0.0980	66.36
0.1000	66.06
